sort_order,filename,item_id,title,date,iiif_url,width_px,height_px,bytes,max_print_in_at_300dpi,max_print_in_at_150dpi
001,001_text-page-cosmogony.jpg,RUMSEY~8~1~217735~5503897,Text Page: Cosmogony.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217735~5503897,11261,8070,16233083,37.54 x 26.90,75.07 x 53.80
002,002_covers-world-geo-graphic-atlas.jpg,RUMSEY~8~1~217713~5503891,Covers: World Geo-graphic Atlas.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217713~5503891,12132,8164,35233157,40.44 x 27.21,80.88 x 54.43
003,003_text-page-addenda-and-corrigenda.jpg,RUMSEY~8~1~217725~5503892,Text Page: Addenda and Corrigenda.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217725~5503892,11087,8101,29550711,36.96 x 27.00,73.91 x 54.01
004,004_half-title-world-geo-graphic-atlas.jpg,RUMSEY~8~1~217727~5503893,Half Title: World Geo-graphic Atlas.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217727~5503893,6032,7969,5628795,20.11 x 26.56,40.21 x 53.13
005,005_title-page-world-geo-graphic-atlas-a-composite-of-man-s-environment.jpg,RUMSEY~8~1~217729~5503894,"Title Page: World Geo-graphic Atlas, A Composite of Man's Environment.",1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217729~5503894,11188,8062,11213871,37.29 x 26.87,74.59 x 53.75
006,006_text-page-preface-foreward.jpg,RUMSEY~8~1~217731~5503895,Text Page: Preface. Foreward.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217731~5503895,11232,8078,14801704,37.44 x 26.93,74.88 x 53.85
007,007_table-of-contents-world-geo-graphic-atlas-a-composite-of-man-s.jpg,RUMSEY~8~1~217733~5503896,"Table of Contents: World Geo-graphic Atlas, A Composite of Man's Environment.",1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217733~5503896,11297,8070,15843795,37.66 x 26.90,75.31 x 53.80
008,008_text-page-astronomy-solar-system.jpg,RUMSEY~8~1~217737~5503898,Text Page: Astronomy. Solar System.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217737~5503898,11311,8049,19809922,37.70 x 26.83,75.41 x 53.66
009,009_text-page-astronomy-the-moon-our-planet.jpg,RUMSEY~8~1~217738~5503899,Text Page: Astronomy. The Moon. Our Planet.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217738~5503899,11362,8077,16873932,37.87 x 26.92,75.75 x 53.85
010,010_text-page-geology.jpg,RUMSEY~8~1~217740~5503900,Text Page: Geology.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217740~5503900,11375,8034,18657178,37.92 x 26.78,75.83 x 53.56
011,011_text-page-geology.jpg,RUMSEY~8~1~217741~5503901,Text Page: Geology.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217741~5503901,11383,8056,18520795,37.94 x 26.85,75.89 x 53.71
012,012_text-page-the-atmosphere-circulation-of-the-air.jpg,RUMSEY~8~1~217742~5503902,Text Page: The Atmosphere. Circulation of the Air.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217742~5503902,11428,8050,18345761,38.09 x 26.83,76.19 x 53.67
013,013_text-page-clouds-air-masses.jpg,RUMSEY~8~1~217743~5503903,Text Page: Clouds. Air Masses.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217743~5503903,11442,8034,21533343,38.14 x 26.78,76.28 x 53.56
014,014_text-page-map-projections.jpg,RUMSEY~8~1~217744~5503904,Text Page: Map Projections.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217744~5503904,11420,8055,16843937,38.07 x 26.85,76.13 x 53.70
015,015_world-physical.jpg,RUMSEY~8~1~217745~5503905,World. Physical.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217745~5503905,11448,8063,20848803,38.16 x 26.88,76.32 x 53.75
016,016_world-climatic-regions.jpg,RUMSEY~8~1~217747~5503906,World. Climatic Regions.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217747~5503906,11471,8042,19141824,38.24 x 26.81,76.47 x 53.61
017,017_world-pressure-and-predominant-winds-temperature.jpg,RUMSEY~8~1~217749~5503907,World. Pressure and Predominant Winds. Temperature.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217749~5503907,11485,8063,23979298,38.28 x 26.88,76.57 x 53.75
018,018_world-annual-rainfall-and-ocean-currents.jpg,RUMSEY~8~1~217750~5503908,World. Annual Rainfall and Ocean Currents.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217750~5503908,11485,8056,21044261,38.28 x 26.85,76.57 x 53.71
019,019_world-natural-vegetation.jpg,RUMSEY~8~1~217752~5503909,World. Natural Vegetation.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217752~5503909,11492,8063,18041044,38.31 x 26.88,76.61 x 53.75
020,020_world-great-soil-groups.jpg,RUMSEY~8~1~217754~5503910,World. Great Soil Groups.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217754~5503910,11521,8062,20455589,38.40 x 26.87,76.81 x 53.75
021,021_world-agricultural-regions.jpg,RUMSEY~8~1~217756~5503911,World. Agricultural Regions.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217756~5503911,11514,8049,18586574,38.38 x 26.83,76.76 x 53.66
022,022_world-population.jpg,RUMSEY~8~1~217758~5503912,World. Population.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217758~5503912,11522,8042,17726049,38.41 x 26.81,76.81 x 53.61
023,023_world-political.jpg,RUMSEY~8~1~217760~5503913,World. Political.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217760~5503913,11521,8027,18275049,38.40 x 26.76,76.81 x 53.51
024,024_world-surface-transport.jpg,RUMSEY~8~1~217762~5503914,World. Surface Transport.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217762~5503914,11535,8028,19577123,38.45 x 26.76,76.90 x 53.52
025,025_world-ocean-communications-time.jpg,RUMSEY~8~1~217764~5503915,World. Ocean Communications. Time.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217764~5503915,11535,8041,20747860,38.45 x 26.80,76.90 x 53.61
026,026_world-air-communications-air-map.jpg,RUMSEY~8~1~217767~5503916,World. Air Communications. Air Map.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217767~5503916,11539,8053,21296611,38.46 x 26.84,76.93 x 53.69
027,027_world-predominant-economies.jpg,RUMSEY~8~1~217769~5503917,World. Predominant Economies.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217769~5503917,11565,7983,19779003,38.55 x 26.61,77.10 x 53.22
028,028_world-economic.jpg,RUMSEY~8~1~217771~5503918,World. Economic.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217771~5503918,11550,7998,18029320,38.50 x 26.66,77.00 x 53.32
029,029_world-economic.jpg,RUMSEY~8~1~217772~5503919,World. Economic.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217772~5503919,11565,8017,18991503,38.55 x 26.72,77.10 x 53.45
030,030_world-economic.jpg,RUMSEY~8~1~217773~5503920,World. Economic.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217773~5503920,11557,7984,19118538,38.52 x 26.61,77.05 x 53.23
031,031_world-economic.jpg,RUMSEY~8~1~217774~5503921,World. Economic.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217774~5503921,11564,8005,19087339,38.55 x 26.68,77.09 x 53.37
032,032_world-economic.jpg,RUMSEY~8~1~217776~5503922,World. Economic.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217776~5503922,11550,7998,19384132,38.50 x 26.66,77.00 x 53.32
033,033_world-economic.jpg,RUMSEY~8~1~217778~5503923,World. Economic.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217778~5503923,11558,8006,17599901,38.53 x 26.69,77.05 x 53.37
034,034_world-economics-languages-and-religions.jpg,RUMSEY~8~1~217779~5503924,World. Economics. Languages and Religions.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217779~5503924,11557,8013,18633262,38.52 x 26.71,77.05 x 53.42
035,035_north-america-physical.jpg,RUMSEY~8~1~217782~5503925,North America. Physical.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217782~5503925,11558,8005,23656652,38.53 x 26.68,77.05 x 53.37
036,036_u-s-a-political.jpg,RUMSEY~8~1~217785~5503926,U.S.A. Political.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217785~5503926,11564,7998,30793326,38.55 x 26.66,77.09 x 53.32
037,037_u-s-a-physiographic.jpg,RUMSEY~8~1~217787~5503927,U.S.A. Physiographic.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217787~5503927,11550,7990,25642422,38.50 x 26.63,77.00 x 53.27
038,038_u-s-a-climatic-population.jpg,RUMSEY~8~1~217788~5503928,U.S.A. Climatic. Population.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217788~5503928,11550,8005,20797713,38.50 x 26.68,77.00 x 53.37
039,039_u-s-a-economic.jpg,RUMSEY~8~1~217789~5503929,U.S.A. Economic.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217789~5503929,11550,7998,19949856,38.50 x 26.66,77.00 x 53.32
040,040_eastern-u-s-a.jpg,RUMSEY~8~1~217791~5503930,Eastern U.S.A.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217791~5503930,8088,11594,31115948,26.96 x 38.65,53.92 x 77.29
041,041_central-u-s-a.jpg,RUMSEY~8~1~217797~5503931,Central U.S.A.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217797~5503931,8012,11565,34757822,26.71 x 38.55,53.41 x 77.10
042,042_western-u-s-a.jpg,RUMSEY~8~1~217801~5503932,Western U.S.A.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217801~5503932,8030,11557,31305918,26.77 x 38.52,53.53 x 77.05
043,043_maine.jpg,RUMSEY~8~1~217807~5503933,Maine.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217807~5503933,11557,8006,28670488,38.52 x 26.69,77.05 x 53.37
044,044_new-hampshire-vermont.jpg,RUMSEY~8~1~217809~5503934,New Hampshire. Vermont.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217809~5503934,11544,8006,29112596,38.48 x 26.69,76.96 x 53.37
045,045_massachusetts.jpg,RUMSEY~8~1~217812~5503935,Massachusetts.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217812~5503935,8047,11565,28752160,26.82 x 38.55,53.65 x 77.10
046,046_connecticut-rhode-island.jpg,RUMSEY~8~1~217814~5503936,Connecticut. Rhode Island.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217814~5503936,8038,11548,27699052,26.79 x 38.49,53.59 x 76.99
047,047_new-york.jpg,RUMSEY~8~1~217819~5503937,New York.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217819~5503937,8021,11540,29431938,26.74 x 38.47,53.47 x 76.93
048,048_new-jersey.jpg,RUMSEY~8~1~217820~5503938,New Jersey.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217820~5503938,11507,7991,28261760,38.36 x 26.64,76.71 x 53.27
049,049_pennsylvania.jpg,RUMSEY~8~1~217822~5503939,Pennsylvania.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217822~5503939,8021,11539,28167747,26.74 x 38.46,53.47 x 76.93
050,050_delaware-maryland-district-of-columbia.jpg,RUMSEY~8~1~217824~5503940,Delaware. Maryland. District of Columbia.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217824~5503940,8029,11556,26575636,26.76 x 38.52,53.53 x 77.04
051,051_west-virginia-virginia.jpg,RUMSEY~8~1~217828~5503941,West Virginia. Virginia.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217828~5503941,8003,11530,27091066,26.68 x 38.43,53.35 x 76.87
052,052_virginia-north-carolina.jpg,RUMSEY~8~1~217831~5503942,Virginia. North Carolina.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217831~5503942,8021,11550,33453230,26.74 x 38.50,53.47 x 77.00
053,053_north-carolina-south-carolina.jpg,RUMSEY~8~1~217833~5503943,North Carolina. South Carolina.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217833~5503943,8012,11531,28678153,26.71 x 38.44,53.41 x 76.87
054,054_georgia.jpg,RUMSEY~8~1~217835~5503944,Georgia.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217835~5503944,11521,8005,29119204,38.40 x 26.68,76.81 x 53.37
055,055_florida.jpg,RUMSEY~8~1~217837~5503945,Florida.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217837~5503945,11514,8027,26799787,38.38 x 26.76,76.76 x 53.51
056,056_alabama-mississippi.jpg,RUMSEY~8~1~217839~5503946,Alabama. Mississippi.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217839~5503946,11500,8013,30321177,38.33 x 26.71,76.67 x 53.42
057,057_mississippi.jpg,RUMSEY~8~1~217842~5503947,Mississippi.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217842~5503947,6019,8076,15643333,20.06 x 26.92,40.13 x 53.84
058,058_louisiana.jpg,RUMSEY~8~1~217844~5503948,Louisiana.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217844~5503948,7960,5975,17548982,26.53 x 19.92,53.07 x 39.83
059,059_louisiana-arkansas.jpg,RUMSEY~8~1~217845~5503949,Louisiana. Arkansas.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217845~5503949,8072,11548,27806747,26.91 x 38.49,53.81 x 76.99
060,060_tennessee.jpg,RUMSEY~8~1~217847~5503950,Tennessee.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217847~5503950,11515,8027,28082488,38.38 x 26.76,76.77 x 53.51
061,061_kentucky.jpg,RUMSEY~8~1~217849~5503951,Kentucky.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217849~5503951,8064,11565,28414635,26.88 x 38.55,53.76 x 77.10
062,062_ohio.jpg,RUMSEY~8~1~217851~5503952,Ohio.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217851~5503952,8029,11556,28698579,26.76 x 38.52,53.53 x 77.04
063,063_michigan.jpg,RUMSEY~8~1~217853~5503953,Michigan.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217853~5503953,11529,7991,26948307,38.43 x 26.64,76.86 x 53.27
064,064_indiana.jpg,RUMSEY~8~1~217855~5503954,Indiana.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217855~5503954,11514,7991,28637910,38.38 x 26.64,76.76 x 53.27
065,065_illinois.jpg,RUMSEY~8~1~217857~5503955,Illinois.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217857~5503955,11507,7977,29995696,38.36 x 26.59,76.71 x 53.18
066,066_wisconsin.jpg,RUMSEY~8~1~217859~5503956,Wisconsin.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217859~5503956,11500,7991,28516252,38.33 x 26.64,76.67 x 53.27
